reviewId,app_name,content,sentiment_polarity,sentiment
01e23c15-44bf-46b7-b280-40e880d9d49b,Shopee,o app de o shopee ser razoável   apesar de ser fácil de utilizar   apresentar algum bugs   por exemplo   sugestão de palavra errar em o campo de pesquisa que acarretar em o busca errar   sugestão de produto que não ter nada a ver com coisa de nosso interesse   dificuldade de acesso de algum jogo ou travamento durante algum jogada   falha para carregar certos anexo para avaliação de o produto   em o geral   ser problema que se poder contornar   pois não ocorrer com tanto frequência,positive,sadness
df40ba7c-075d-48dc-b798-21466dfb41d6,Shopee,o app ser bem otimizar   fácil de visualizar o produto   pedido e rastreio   interface intuitivo   porém existir incômor   achar que o principal ser o má recomendação de produto   o vez aparecer um produto que não dever aparecer e que não ter nada a ver com o pesquisar até então    como brinquedo sexual    eu incomodar um pouco isso porém não atrapalhar por completo o utilização de o app   em o geral o app ser muito bom e o loja em geral também fazer um bom trabalho,positive,sadness
59490b23-b17b-4bba-855b-b5053dadc0db,Shopee,o app ser muito bom   prático e fácil de entender   porém algum vendedor mandar produto que   apesar de bem semelhante a o anúncio   ainda ter lá seu diferença   e em celular fraco   como o meu   ter vez que o app fechar sozinho ou trar   chegar a nem abrir o vez   poder ser mais levar e otimizar para dispositivo fraco   mas fora isso o app ser bom   excelente produto e simples de usar,positive,sadness
48fd8168-1e42-4475-9a99-935c2fd48769,Shopee,aplicativo muito bom   mas algo que eu chatear bastante ser o fato de que a o pesquisar um produto e colocar o cep aparecer que o frete ser grátis ou bem baratinho e que acima de        o frete ser gratuito   mas compr    produto de valor alto e quando coloquei em o carrinho e fechei o pedido aparecer valor alto de frete   dar vontade de desistir de o compra   mas como precisar muito acabar comprar   achar que dever informar o valor correto de o frete em o momento de o pesquisa   quando colocar o cep,positive,sadness
f4e1468b-6d97-4f1a-927d-1afee2bfbe75,Shopee,o app ser muito bom   porém ter ter dificuldade para pagamento em o cartão de crédito após fazer compra em o pix   eu alterar o meio de pagamento porém quando chegar em o parte de colocar o código de o cartão trar e não sair de aquele área     já deixeir de fazer muito compra por conta de isso   se puder concertar esse bug sério bom para nós consumidor,negative,disgust
2ce2db50-eec3-4cf5-afd6-b153ca01cf0f,Shopee,ser muito bom esse app   porém ele ficar travar um pouco até mesmo em o hora de concluir o compra   aí precisar sair e entrar novamente   precisario bom o plataforma   mas em o mais ser bom   passar para dizer que haver melhora   finalização de o compra estar super rápido e adorar o opção de parcelar  ,positive,happiness
404d8ede-bf3e-4652-a410-ec1ad12e40df,Shopee,ter gostar bastante de o app   acreditar que em decorrência de o atualização   o app parar de travar durante o seu inicialização   em este momento   inicio o app com muito agilidade   quanto a o produto   consigo encontrar excelente preço e qualidade também,positive,happiness
0d7c4353-a8f6-467c-abd7-c65b26fd4976,Shopee,adorar   tudo que você pensar ter e o promoção de frete ser o diferencial de esse app   o pessoa colabor muito em o sentido de avaliar o produto com foto e vídeo   além de o comentário   o que facilitar identificar o qualidade em o hora de escolher o que comprar   já fiz várias compra e   em o grande maioria   fiquei muito satisfeito,positive,happiness
5410fc9e-d51f-4f6f-9fdc-01b93eed8750,Shopee,o app ser muito bom algum mercadoria ser realmente de qualidade e preço justo chegar em o prazo o vez antes   mas agora eu peguei tentar rastrear um pedido que fiz e não saber como fazer    por o site de o correio não aceitar pq o número de rastreamento ser fora de o padrão uma vez que estar marcar pra chegar em um data e agora mudar radicalmente   se ter alguém que saber sobre esse rastreamento   em o mais estar gostar comprar muito coisa de qualidade,positive,sadness
31458c8f-8f11-496f-b72e-dacc9470a52f,Shopee,estar com problema inicial de não conseguir enviar mensagem em o chat   para tirar dúvida sobre o produto   com o vendedor   abri ajudar   fiz todo o passo de o orientação e atendimento   e ter que desistalar e reinstalar o app para funcionar   porém funcionar somente em aquele mesmo dia   em o dia seguinte   voltar o problema   terça    também tentar reclamar de um produto que recebir e não consigo pois o chat não ir   hoje já reinstalei    vez o app e não reconhecer o código por whatsapp   ou por sms,negative,anger
